term,E,P,A,E2,P2,A2
talented,3.13,2.9,1.47,3.13,2.9,1.47
talkative,0.61,0.91,2.69,0.61,0.91,2.69
team_spirited,2.54,1.92,2.4,2.54,1.92,2.4
temperamental,-1.52,-0.23,1.54,-1.52,-0.23,1.54
tense,-1.68,-0.13,-0.29,-1.68,-0.13,-0.29
terrified,-2.5,-0.06,1.55,-2.5,-0.06,1.55
thankful,3.15,2.22,-0.21,3.15,2.22,-0.21
thoughtful,3.01,2.62,-0.93,3.01,2.62,-0.93
thoughtless,-2.7,-1.43,-0.84,-2.7,-1.43,-0.84
thrilled,2.65,2.3,2.5,2.65,2.3,2.5
timid,-1.1,-2.12,-1.93,-1.1,-2.12,-1.93
tired,-1.59,-1.37,-2.23,-1.59,-1.37,-2.23
tolerant,2.52,1.72,-0.6,2.52,1.72,-0.6
tormented,-3.34,-0.62,-0.65,-3.34,-0.62,-0.65
tough,1.66,2.17,0.64,1.66,2.17,0.64
tranquil,2.05,1.04,-2.59,2.05,1.04,-2.59
troubled,-2.2,-0.81,-0.98,-2.2,-0.81,-0.98
trusting,2.32,1.64,-0.31,2.32,1.64,-0.31
ugly,-1.61,-1.05,-0.88,-1.61,-1.05,-0.88
unambitious,-2.76,-2.37,-2.84,-2.76,-2.37,-2.84
unattractive,-1.3,-1.1,-0.61,-1.3,-1.1,-0.61
uncertain,-1.23,-1.52,-0.84,-1.23,-1.52,-0.84
uncomfortable,-2.02,-0.91,-1.47,-2.02,-0.91,-1.47
unconventional,0.92,0.9,0.82,0.92,0.9,0.82
understanding,3.1,2.38,-0.89,3.1,2.38,-0.89
uneasy,-2.01,-1.13,-0.98,-2.01,-1.13,-0.98
uneducated,-2.72,-1.98,-1.58,-2.72,-1.98,-1.58
unemployed,-2.57,-2.35,-2.08,-2.57,-2.35,-2.08
unfair,-2.63,0.38,0.29,-2.63,0.38,0.29
unforgiving,-2.74,-0.36,-0.82,-2.74,-0.36,-0.82
unfriendly,-2.97,-0.06,-0.36,-2.97,-0.06,-0.36
ungrateful,-3.14,-0.92,-0.12,-3.14,-0.92,-0.12
unhappy,-2.55,-0.1,-1.87,-2.55,-0.1,-1.87
unhealthy,-2.72,-0.96,-1.4,-2.72,-0.96,-1.4
unhelpful,-2.04,-1.17,-1.45,-2.04,-1.17,-1.45
unimaginative,-2.21,-2.22,-2.03,-2.21,-2.22,-2.03
unique,2.77,2.44,0.94,2.77,2.44,0.94
unkind,-3.12,-0.68,0.4,-3.12,-0.68,0.4
unlucky,-2.03,-1.36,-0.29,-2.03,-1.36,-0.29
unmotivated,-3.08,-2.2,-2.65,-3.08,-2.2,-2.65
unpopular,-0.95,-1.29,-1.48,-0.95,-1.29,-1.48
unreasonable,-2.58,-0.75,0.78,-2.58,-0.75,0.78
unreliable,-3,-1.46,-1.1,-3,-1.46,-1.1
unsatisfied,-2.19,-1.03,-1.22,-2.19,-1.03,-1.22
unscrupulous,-1.06,-0.21,-0.07,-1.06,-0.21,-0.07
unselfish,3.16,2.36,-0.27,3.16,2.36,-0.27
unsophisticated,-1.68,-1.54,0.57,-1.68,-1.54,0.57
unsportsmanlike,-2.61,-1.34,1.6,-2.61,-1.34,1.6
