term,E,P,A,E2,P2,A2
elementary_school_teacher,2.61,1.63,1.59,2.61,1.63,1.59
elite_person,0.63,2.41,1.28,0.63,2.41,1.28
employee,1.65,-0.38,1.25,1.65,-0.38,1.25
employer,1.22,2.07,0.85,1.22,2.07,0.85
enemy,-2.76,0.98,0.99,-2.76,0.98,0.99
engineer,2.08,1.62,0.94,2.08,1.62,0.94
entrepreneur,1.98,1.82,1.93,1.98,1.82,1.93
environmentalist,2.21,0.88,0.87,2.21,0.88,0.87
evangelical_Christian,0.35,0.39,0.89,0.35,0.39,0.89
evangelist,0.28,0.98,1.94,0.28,0.98,1.94
evildoer,-3.6,1.55,1.37,-3.6,1.55,1.37
ex_boyfriend,-0.99,-0.58,-0.12,-0.99,-0.58,-0.12
ex_convict,-1.21,-0.98,0.26,-1.21,-0.98,0.26
ex_girlfriend,-0.98,-0.4,0.32,-0.98,-0.4,0.32
ex_husband,-0.99,-0.09,0.49,-0.99,-0.09,0.49
ex_wife,-0.96,-0.06,0.78,-0.96,-0.06,0.78
executioner,-1.86,2.23,0.9,-1.86,2.23,0.9
executive,0.74,2.56,1.76,0.74,2.56,1.76
exorcist,0.71,1.41,1.84,0.71,1.41,1.84
expert,2.44,2.39,1.12,2.44,2.39,1.12
extrovert,1.07,1.27,2.46,1.07,1.27,2.46
eyewitness,1.59,1.4,0.05,1.59,1.4,0.05
failure,-2.23,-1.18,-0.59,-2.23,-1.18,-0.59
fan,1.64,0.56,2.01,1.64,0.56,2.01
fanatic,-0.93,0.38,2.42,-0.93,0.38,2.42
farm_laborer,1.88,-0.15,1.63,1.88,-0.15,1.63
farmer,2.56,1.18,1.22,2.56,1.18,1.22
fast_food_server,0.85,-1.15,1.73,0.85,-1.15,1.73
father,2.17,2.14,0.92,2.17,2.14,0.92
father_in_law,0.96,0.83,0.26,0.96,0.83,0.26
fellow,1.15,0.58,0.26,1.15,0.58,0.26
felon,-2.73,-0.05,1.23,-2.73,-0.05,1.23
female,1.92,0.82,0.65,1.92,0.82,0.65
feminist,0.67,0.84,1.6,0.67,0.84,1.6
fiance,2.41,1.46,0.8,2.41,1.46,0.8
fiancee,2.31,1.41,0.85,2.31,1.41,0.85
fiend,-1.47,0.8,1.31,-1.47,0.8,1.31
fighter,0.44,2.21,2.57,0.44,2.21,2.57
file_clerk,1.12,-0.68,-0.41,1.12,-0.68,-0.41
film_star,0.85,1.92,1.92,0.85,1.92,1.92
fire_investigator,2.38,1.74,1.27,2.38,1.74,1.27
firefighter,3.02,2.57,2.6,3.02,2.57,2.6
firstborn,1.75,0.3,0.72,1.75,0.3,0.72
fisherman,1.57,0.56,0.16,1.57,0.56,0.16
flight_attendant,1.38,0.32,1.18,1.38,0.32,1.18
flirt,0.38,0.7,1.38,0.38,0.7,1.38
flunky,-1.68,-1.93,-0.35,-1.68,-1.93,-0.35
follower,-0.03,-1.57,-1.18,-0.03,-1.57,-1.18
fool,-2.26,-1.95,-0.01,-2.26,-1.95,-0.01
foreigner,0.6,-0.42,0.23,0.6,-0.42,0.23
foreman,1.39,1.75,1.46,1.39,1.75,1.46
forest_ranger,2.28,1.19,1.25,2.28,1.19,1.25
foster_child,1.63,-0.89,0.67,1.63,-0.89,0.67
foster_daughter,1.64,-0.48,0.54,1.64,-0.48,0.54
foster_father,2.27,1.85,1.03,2.27,1.85,1.03
foster_mother,2.19,1.53,0.97,2.19,1.53,0.97
foster_parent,2.46,1.66,1.1,2.46,1.66,1.1
foster_son,1.19,-0.34,0.46,1.19,-0.34,0.46
freak,-0.46,-0.5,0.48,-0.46,-0.5,0.48
free_thinker,2.34,1.55,0.65,2.34,1.55,0.65
freeloader,-2.63,-1.7,-1.1,-2.63,-1.7,-1.1
friend,3.17,1.68,0.93,3.17,1.68,0.93
fugitive,-2.54,-0.84,1.01,-2.54,-0.84,1.01
fundamentalist,-0.66,0.37,1.1,-0.66,0.37,1.1
fundraiser,2.38,1.79,1.7,2.38,1.79,1.7
funeral_director,1.16,0.74,-0.65,1.16,0.74,-0.65
gal,1.38,0.04,0.69,1.38,0.04,0.69
gambler,-1.11,-0.56,1.46,-1.11,-0.56,1.46
gamer,0.89,-0.07,0.94,0.89,-0.07,0.94
gangster,-2.74,1.44,1.75,-2.74,1.44,1.75
garbage_collector,1.61,0.26,1.56,1.61,0.26,1.56
gas_station_attendant,0.92,-0.71,0.35,0.92,-0.71,0.35
gay,0.96,0.06,0.61,0.96,0.06,0.61
geek,1.39,-0.57,-0.63,1.39,-0.57,-0.63
genius,2.63,2.24,0.38,2.63,2.24,0.38
gentleman,2.8,1.57,-0.13,2.8,1.57,-0.13
geologist,2.01,0.65,-0.08,2.01,0.65,-0.08
girl,2.03,0.57,0.85,2.03,0.57,0.85
girl_scout,2.32,-0.32,1.3,2.32,-0.32,1.3
girlfriend,1.69,0.84,1.13,1.69,0.84,1.13
glutton,-2.32,-0.75,-0.26,-2.32,-0.75,-0.26
gold_digger,-2.68,-0.21,1.43,-2.68,-0.21,1.43
golfer,0.85,0.43,-0.14,0.85,0.43,-0.14
good_Samaritan,3.37,1.93,0.94,3.37,1.93,0.94
goon,-2.2,0.01,0.94,-2.2,0.01,0.94
gossip,-2.25,0.08,1.96,-2.25,0.08,1.96
governor,0.67,2.4,1.4,0.67,2.4,1.4
graduate_student,2.19,1.01,0.88,2.19,1.01,0.88
grandchild,2.67,-1.1,2.44,2.67,-1.1,2.44
granddaughter,2.33,0.21,1.56,2.33,0.21,1.56
grandfather,2.38,1.22,-0.91,2.38,1.22,-0.91
grandma,2.34,-0.1,-1.24,2.34,-0.1,-1.24
grandmother,2.46,0.71,-0.94,2.46,0.71,-0.94
grandparent,2.64,1.34,-0.94,2.64,1.34,-0.94
grandson,2.35,0.22,1.87,2.35,0.22,1.87
granny,2.4,-0.01,-1.19,2.4,-0.01,-1.19
grind,-0.34,0.37,0.71,-0.34,0.37,0.71
grouch,-2.07,-0.88,-0.27,-2.07,-0.88,-0.27
grownup,1.18,1.62,0.64,1.18,1.62,0.64
guest,1.21,-0.4,-0.2,1.21,-0.4,-0.2
gunman,-2.13,1.76,1.65,-2.13,1.76,1.65
guy,0.84,1.07,0.73,0.84,1.07,0.73
hacker,-1.72,1.73,0.29,-1.72,1.73,0.29
hairdresser,1.5,0.16,1.44,1.5,0.16,1.44
hairstylist,1.51,0.31,1.34,1.51,0.31,1.34
half_brother,1.26,0.32,0.4,1.26,0.32,0.4
half_sister,1.18,0.13,0.36,1.18,0.13,0.36
half_wit,-1.46,-2.24,-1.37,-1.46,-2.24,-1.37
handicapped_person,0.61,-1.1,-1.06,0.61,-1.1,-1.06
handyman,2.06,0.92,1.54,2.06,0.92,1.54
