term,E,P,A,E2,P2,A2
confidant,2.46,2.44,-0.53,2.46,2.44,-0.53
conformist,-1.06,-2.01,-0.91,-1.06,-2.01,-0.91
connoisseur,1.35,0.97,-0.04,1.35,0.97,-0.04
conservative,0.48,0.55,-0.25,0.48,0.55,-0.25
construction_contractor,1.19,1.4,1.33,1.19,1.4,1.33
construction_foreman,1.11,1.44,1.46,1.11,1.44,1.46
construction_laborer,1.2,0.69,1.58,1.2,0.69,1.58
consultant,1.61,1.59,0.82,1.61,1.59,0.82
consumer,1.17,1.44,0.99,1.17,1.44,0.99
convict,-2.18,-1.02,0.36,-2.18,-1.02,0.36
cook,2.16,1.66,1.51,2.16,1.66,1.51
cop,0.96,2.66,1.05,0.96,2.66,1.05
copycat,-1.99,-1.23,0.03,-1.99,-1.23,0.03
coroner,0.58,0.52,-1.27,0.58,0.52,-1.27
cosmetologist,1.41,0.37,0.53,1.41,0.37,0.53
counselor,2.58,1.6,-0.84,2.58,1.6,-0.84
cousin,1.52,0.3,0.7,1.52,0.3,0.7
coward,-2.32,-3.01,-2.04,-2.32,-3.01,-2.04
craftsman,1.71,0.96,-0.21,1.71,0.96,-0.21
crane_operator,0.91,1.3,0.09,0.91,1.3,0.09
creditor,-0.56,1.61,0.58,-0.56,1.61,0.58
criminal,-2.58,-0.25,0.59,-2.58,-0.25,0.59
cripple,-0.05,-1.91,-1.87,-0.05,-1.91,-1.87
critic,-0.45,1.55,1.32,-0.45,1.55,1.32
crook,-2.77,-0.31,0.21,-2.77,-0.31,0.21
crybaby,-2.46,-2.1,1.91,-2.46,-2.1,1.91
culprit,-2.15,-0.16,0.75,-2.15,-0.16,0.75
custodian,1.49,-0.9,-1.02,1.49,-0.9,-1.02
customer,1.19,1.38,0.62,1.19,1.38,0.62
customer_systems_analyst,0.9,0.3,-0.63,0.9,0.3,-0.63
customs_officer,0.27,1.35,-0.03,0.27,1.35,-0.03
cutthroat,-2.05,1.4,0.93,-2.05,1.4,0.93
